id;currency_date;source_unit_value;result_unit_value;buying_rate;selling_rate;effective_buying_rate;effective_selling_rate;is_service
1;2020-02-16;56205;57018;40464;59917;3557;74203;false
2;2020-02-16;27125;56703;84970;63811;95018;54358;false
3;2020-02-16;38509;21542;88120;72167;79615;80042;false
4;2020-02-17;21300;59852;37914;22676;85062;95011;true
5;2020-02-17;17158;56312;9879;1361;3107;73479;false
6;2020-02-17;45146;17123;87774;98109;99934;66467;false
7;2020-02-16;16261;94101;45153;72404;55029;53027;true
8;2020-02-17;52072;55540;79869;36106;31270;88176;true
9;2020-02-17;91657;13839;91049;97953;19498;55590;true
10;2020-02-16;448;16913;19065;26535;62310;65517;true
