id;source_unit_value;result_unit_value;buying_rate;selling_rate;effective_buying_rate;effective_selling_rate;last_currency_date
1;46003;34087;80185;1862;54262;12809;2020-02-16
2;6619;84856;96430;76771;84022;18381;2020-02-16
3;62619;7188;16634;53974;77978;68313;2020-02-16
4;64821;4495;42270;73226;90484;2858;2020-02-17
5;32411;4559;27956;57130;4087;106;2020-02-17
6;79885;74166;9322;67169;44032;91498;2020-02-16
7;13337;69251;29771;57124;74659;80918;2020-02-17
8;8047;23717;70312;91929;60040;53132;2020-02-17
9;88897;99065;96916;85861;85379;44140;2020-02-17
10;34676;45984;92190;33810;89073;48657;2020-02-16
